productID,name,description,price,weight,weightUnit,image,imageUrl,can
00810149270086,"Darcy's Halves Peaches, 32 oz","Darcy's Halves Peaches, 32 oz",$9.99,32.0,oz,,https://images.cdn.shoprite.com/cell/00810149270086_1,Rejected
00810149270093,"Darcy's Sliced Peaches, 32 oz","Darcy's Sliced Peaches, 32 oz",$9.99,32.0,oz,,https://images.cdn.shoprite.com/cell/00810149270093_1,Rejected
00848860002556,"GoGo Squeez Boulder Berry and Zippin' Pear Fruit & Veggiez on the Go Variety Pack, 3.2 oz, 12 count","GoGo Squeez Boulder Berry and Zippin' Pear Fruit & Veggiez on the Go Variety Pack, 3.2 oz, 12 count",$7.49,38.4,oz,,https://images.cdn.shoprite.com/cell/00848860002556_1,Rejected
00848860049704,"Gogo Squeez Active Cherry, Raspberry & Lime Fruit Blend with Electrolytes, 3.9 oz, 4 count","Gogo Squeez Active Cherry, Raspberry & Lime Fruit Blend with Electrolytes, 3.9 oz, 4 count",$4.49,15.52,oz,,https://images.cdn.shoprite.com/cell/00848860049704_1,Rejected
00848860049742,"GoGo Squeez Active Blueberry, Strawberry & Lemon Fruit Blend with Electrolytes, 3.9 oz, 10 count","GoGo Squeez Active Blueberry, Strawberry & Lemon Fruit Blend with Electrolytes, 3.9 oz, 10 count",$10.99,2.42,lb,,https://images.cdn.shoprite.com/cell/00848860049742_1,Rejected
00890000001110,"Materne GoGo Squeez Apple Strawberry Fruit on the Go, 3.2 oz, 4 count","GoGo Squeez  Applesauce Apple Strawberry, Fruit Snack on the Go, 3.2 oz (Pack of 4 pouches)",$3.49,3.2,oz,,https://assets.wakefern.com/is/image/wakefern/89000000111-001?$Mi9Product_cell$,Rejected
00034700065106,"Allens Popeye Spinach, 13.5 oz","Allens Popeye Spinach, 13.5 oz",$1.79,14.0,oz,,https://images.cdn.shoprite.com/cell/00034700065106_1,Ok
00072248271580,"Amore Anchovy Paste, 1.6 oz","Amore Anchovy Paste, 1.6 oz",$2.99,1.58,oz,,https://images.cdn.shoprite.com/cell/00072248271580_1,Rejected
00072248710027,"Amore Double Concentrated Tomato Basil Paste, 4.5 oz","Amore Double Concentrated Tomato Basil Paste, 4.5 oz",$3.49,4.5,oz,,https://images.cdn.shoprite.com/cell/00072248710027_1,Rejected
00072248213238,"Amore Double Concentrated Tomato Paste, 4.5 oz","Amore Double Concentrated Tomato Paste, 4.5 oz",$3.49,4.5,oz,,https://images.cdn.shoprite.com/cell/00072248213238_1,Rejected
